,text,sonuc
0,125 lira,norm
1,Baskanin aksam toplantısi fenaymis :),norm
2,Bilal yalçnlara ne zaman gidiyoruz?,norm
3,"BiP ile mesajlarimi aninda, daha eglenceli gonderiyorum! Sen de hemen kullan! http://mobiltr.co/BiP",spam
4,DIGITURKTEN FIRSAT! SiZE OZEL YIL SONUNA KADAR 200 UZERi ULUSAL HD YAYIN BELGESEL+SPOR+DiZi+YETiSKiN iLK AY LiG TV AYDA SADECE 10 TL.HEMEN ARAYIN 02122129070,spam
5,İyi ya dokuz eylül iyidir arş.gör falan kovala ;),norm
6,İyiyim teşekkürler oturuyoruz nazarda arkadaşla  sen nasılsın :)  geçen gördüm seni de gelemedim yanınıza ,norm
7,Kapatamıyorun ayarlara girmem lazım :) ,norm
8,Menüye girsem görünür mü acaba ?? ,norm
9,Önemli değil hocam iyi akşamlar ;) ,norm
10,Senin nasil arastirma görevlisi olacak gibi mi,norm
11,Tamam :) ,norm
12,Tamam abi iyi yolculuklar. Ben hastanede yim boşa çıkarsan görüşüruz abi,norm
13,Tamam getircektim attım çantaya ;),norm
14,Tamam hocam ;) ,norm
15,Tamam uyar yarn gidelim;),norm
16,tamamdir.,norm
17,"%100 PAMUK PENYE,PERCALE VE SATEN CARSAF VE CARSAF TAKIMLARINDA %50+%50 INDIRIM! 02 AGUSTOS SON!(SMS IPTAL:5830'A MC)MERSIS:0273065777400019 madamecoco.com",spam
18,"%100 PAMUK SATEN CARSAFLI NEVRESIM TAKIMLARI CIFT K 99.99TL,TEK K 79.99TL FIRSATIYLA MAGAZALAR VE madamecoco.com'DA!IPTAL:5830A MC YAZ/MERSIS0273065777400019",spam
19,%100 Pamuklu Erkek Camasirlarinda %40 Indirim Kampanyamiz Bugun Baslamistir.Keyifli Alisverisler Dileriz. (SMS almamak icin RET yaz 3347'ye gonderiniz),spam
20,"%20 INDIRIMLI Yilbasi Menusu Mavi'de! 1ALT+1UST+1AKSESUAR veya 1ALT+2UST alin, %20 indirim kazanin! Mavi magazalari & mavi.com.  SMS almak istemiyorsaniz MAVI yazip 3525'e gonderin. Mersis:13327743669639998",spam
